event_id,date,actor,category,description,expected_action,success_criteria,risk_level
E101,2025-07-01,Seller,Prep,売却検討を開始（要件整理）,希望価格・引渡時期・残置物の方針メモ化,要件メモ作成・家族合意,Low
E102,2025-07-05,Agents,Listing,4社へ査定依頼（一般媒介を前提）,必要資料を送付・査定日程の確定,4社の査定日確定,Low
E103,2025-07-10,Agents,Listing,一般媒介契約を4社と締結,契約書署名・掲載指示の共有,4社とも掲載準備OK,Medium
E104,2025-07-15,Seller,Prep,写真・間取・告知事項の準備,写真選定／間取データ／告知素案の確定,掲出素材一式が整う,Medium
E105,2025-07-20,Agents,Listing,掲載開始（ティザー含む）,文言統一・差異チェック・ファーストビュー最適化,主要ポータルで掲載完了,Low
E106,2025-08-01,Movers,Prep,引越し業者の選定と予約,見積比較・搬出日の確定,搬出予約完了,Low
E107,2025-08-20,Cleaners,Prep,ハウスクリーニングの実施,作業日・作業内容の確定,清掃完了（写真記録）,Low
E108,2025-08-25,Seller,Listing,内覧準備（鍵・動線・掲示物）,内覧スロット案・注意書きを確定,内覧開始の準備OK,Medium
E109,2025-09-01,Agents,Viewing,内覧を開始,スロット確定・案内配信・共用掲示許可,初週スロット≥6を確保,Medium
E110,2025-09-10,BuyerA,Offer,一次申込の受領（条件ヒア）,価格/時期/残置/手付の希望を整理・本人確認,条件表ドラフト合意,High
E111,2025-09-15,BuyerA,Offer,条件合意（価格・時期・残置・手付）,売買契約日の調整・書類準備,契約日確定,High
E112,2025-09-20,Seller,Offer,売買契約の締結,契約書署名捺印・手付受領,契約完了・手付入金確認,High
E113,2025-09-30,Bank,Finance,ローン本審査の申請,必要書類の提出・司法書士連携の準備,本審査申請完了,Medium
E114,2025-10-05,Bank,Finance,ローン承認の取得,決済日・司法書士・銀行予約の確定,決済日程が確定,Medium
E115,2025-10-25,Bank,Close,決済・引渡（鍵・精算・立会い）,持参物確認・精算表確定・鍵引渡,引渡完了（明け渡し）,High
